product_offer_reference,concrete_sku,product.value_10,merchant_sku,is_active,approval_status,product.attribute_key_73,product.value_73,product.attribute_key_74,product.value_74,product.attribute_key_75,product.value_75
offer1,14824_A268175,MER000001,MER000001-01,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26857099557&a=333885&m=14824,displayed_price,5.00
offer2,14824_A004599,MER000001,MER000001-02,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=26857099557&a=333885&m=14824,displayed_price,5.00
offer3,14824_A007052,MER000001,MER000001-03,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598257205&a=333885&m=14824,displayed_price,5.00
offer4,14824_A092456,MER000001,MER000001-04,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598257205&a=333885&m=14824,displayed_price,5.00
offer5,14824_A160278,MER000001,MER000001-05,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598257397&a=333885&m=14824,displayed_price,5.00
offer6,14824_A222010,MER000001,MER000001-06,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598257397&a=333885&m=14824,displayed_price,5.00
offer7,14824_A240617,MER000001,MER000001-07,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598264365&a=333885&m=14824,displayed_price,5.00
offer8,14824_A240754,MER000001,MER000001-08,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598264365&a=333885&m=14824,displayed_price,5.00
offer9,14824_A266732,MER000001,MER000001-09,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598296559&a=333885&m=14824,displayed_price,5.00
offer10,14824_A276655,MER000001,MER000001-10,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598296559&a=333885&m=14824,displayed_price,5.00
offer11,14824_A143799,MER000001,MER000001-11,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598455923&a=333885&m=14824,displayed_price,5.00
offer12,14824_A160230,MER000001,MER000001-12,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598455923&a=333885&m=14824,displayed_price,5.00
offer13,14824_A272640,MER000001,MER000001-13,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598535865&a=333885&m=14824,displayed_price,5.00
offer14,14824_A277282,MER000001,MER000001-14,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598535865&a=333885&m=14824,displayed_price,5.00
offer15,14824_A277286,MER000001,MER000001-15,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598536095&a=333885&m=14824,displayed_price,5.00
offer16,14824_A004605,MER000001,MER000001-16,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598536095&a=333885&m=14824,displayed_price,5.00
offer17,14824_A143747,MER000001,MER000001-17,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598614309&a=333885&m=14824,displayed_price,5.00
offer18,14824_A210097,MER000001,MER000001-18,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598614309&a=333885&m=14824,displayed_price,5.00
offer19,14824_A282165,MER000001,MER000001-19,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598636807&a=333885&m=14824,displayed_price,5.00
offer20,14824_A277473,MER000001,MER000001-20,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24598636807&a=333885&m=14824,displayed_price,5.00
offer21,14824_A283980,MER000001,MER000001-21,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24618487625&a=333885&m=14824,displayed_price,5.00
offer22,14824_A284243,MER000001,MER000001-22,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24618487625&a=333885&m=14824,displayed_price,5.00
offer23,14824_A289418,MER000001,MER000001-23,1,approved,affiliate_product,TRUE,Affiliate_deeplink,https://www.awin1.com/pclick.php?p=24618487661&a=333885&m=14824,displayed_price,5.00
