customer_reference,locale_name,phone,email,salutation,first_name,last_name,company,gender,date_of_birth,password,registered,customer_group
DE--1,en_US,,spencor.hopkin@spryker.com,Mr,Spencor,Hopkin,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customer_mW
DE--2,en_US,,maria.williams@spryker.com,Ms,Maria,Williams,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customer_mW
DE--3,de_DE,,maggie.may@spryker.com,Ms,Maggie,May,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customer_mW
DE--4,de_DE,,bill.martin@spryker.com,Mr,Bill,Martin,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Employee
DE--5,de_DE,,george.freeman@spryker.com,Mr,George,Freeman,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Employee
DE--6,de_DE,,henry.tudor@spryker.com,Mr,Henry,Tudor,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Employee
DE--7,de_DE,,anne.boleyn@spryker.com,Ms,Anne,Boleyn,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Employee
DE--8,de_DE,495-123-45-67,andrew@ottom.de,Mr,Andrew,Wedner,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Employee
DE--9,de_DE,495-123-45-68,Ahill@ottom.de,Mr,Ahill,Grant,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Marketers
DE--10,de_DE,495-123-45-69,Alexa@ottom.de,Ms,Alexa,Simons,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Marketers
DE--11,de_DE,495-123-45-70,Frida@ottom.de,Ms,Frida,Grott,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Marketers
DE--12,de_DE,495-123-45-71,Lisa@ottom.de,Ms,Lisa,Pauls,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Marketers
DE--13,de_DE,495-123-45-72,Kim@ottom.de,Mr,Kim,Gyeong-min,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Marketers
DE--14,en_US,425-222-45-73,Solomon@spryker.com,Mr,Solomon,Wesner,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB
DE--15,en_US,425-222-45-74,Richi@spryker.com,Mr,Armando,Richi,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB
DE--16,en_US,425-222-45-75,karl@spryker.com,Mr,Karl,Schmid,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB
DE--17,en_US,425-222-45-76,Sarah@spryker.com,Ms,Sarah,Muller,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB
DE--18,en_US,425-222-45-77,Elizabet@spryker.com,Ms,Elizabet,Keller,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB
DE--19,en_US,425-222-45-78,donald@spryker.com,Mr,Donald,Huber,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB_B
DE--20,en_US,425-222-45-79,Trever.m@spryker.com,Mr,Trever,Meier,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB_B
DE--21,en_US,425-222-45-80,sonia@spryker.com,Ms,Sonia,Wagner,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,2020-06-24,Customers_CB_B
